"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 04월 30일","0.3084","0.2931","0.3120","0.2915","126.65M","5.29%"
"2019년 04월 29일","0.2929","0.2995","0.3015","0.2902","76.55M","-2.20%"
"2019년 04월 28일","0.2995","0.2992","0.3026","0.2962","62.83M","0.17%"
"2019년 04월 27일","0.2990","0.3032","0.3048","0.2975","59.65M","-1.39%"
"2019년 04월 26일","0.3032","0.2910","0.3051","0.2885","179.60M","4.01%"
"2019년 04월 25일","0.2915","0.2996","0.3053","0.2841","172.95M","-2.67%"
"2019년 04월 24일","0.2995","0.3181","0.3192","0.2872","274.58M","-5.88%"
"2019년 04월 23일","0.3182","0.3223","0.3262","0.3182","116.93M","-1.24%"
"2019년 04월 22일","0.3222","0.3193","0.3299","0.3165","129.54M","0.88%"
"2019년 04월 21일","0.3194","0.3266","0.3281","0.3139","108.36M","-2.23%"
"2019년 04월 20일","0.3267","0.3299","0.3320","0.3213","78.56M","-1.00%"
"2019년 04월 19일","0.3300","0.3353","0.3353","0.3262","110.41M","-1.55%"
"2019년 04월 18일","0.3352","0.3342","0.3464","0.3326","147.50M","0.33%"
"2019년 04월 17일","0.3341","0.3239","0.3405","0.3191","167.72M","3.09%"
"2019년 04월 16일","0.3241","0.3189","0.3248","0.3153","80.39M","1.57%"
"2019년 04월 15일","0.3191","0.3275","0.3318","0.3132","124.42M","-2.56%"
"2019년 04월 14일","0.3275","0.3245","0.3298","0.3213","71.86M","0.89%"
"2019년 04월 13일","0.3246","0.3232","0.3355","0.3197","116.75M","0.37%"
"2019년 04월 12일","0.3234","0.3270","0.3279","0.3143","130.72M","-1.13%"
"2019년 04월 11일","0.3271","0.3536","0.3536","0.3193","282.77M","-7.34%"
"2019년 04월 10일","0.3530","0.3470","0.3575","0.3461","164.47M","1.67%"
"2019년 04월 09일","0.3472","0.3554","0.3554","0.3441","123.85M","-2.39%"
"2019년 04월 08일","0.3557","0.3615","0.3700","0.3448","214.11M","-1.58%"
"2019년 04월 07일","0.3614","0.3526","0.3666","0.3506","207.97M","2.52%"
"2019년 04월 06일","0.3525","0.3613","0.3619","0.3462","199.45M","-2.38%"
"2019년 04월 05일","0.3611","0.3303","0.3792","0.3301","357.68M","9.42%"
"2019년 04월 04일","0.3300","0.3401","0.3463","0.3248","237.99M","-2.97%"
"2019년 04월 03일","0.3401","0.3505","0.3702","0.3264","480.45M","-2.94%"
"2019년 04월 02일","0.3504","0.3122","0.3557","0.3115","389.33M","12.24%"
"2019년 04월 01일","0.3122","0.3087","0.3144","0.3078","96.85M","1.13%"
"2019년 03월 31일","0.3087","0.3108","0.3116","0.3072","65.86M","-0.71%"
"2019년 03월 30일","0.3109","0.3077","0.3180","0.3072","124.13M","1.04%"
"2019년 03월 29일","0.3077","0.3060","0.3100","0.3053","100.35M","0.56%"
"2019년 03월 28일","0.3060","0.3100","0.3100","0.3044","66.34M","-1.42%"
"2019년 03월 27일","0.3104","0.3030","0.3110","0.3006","113.65M","2.48%"
"2019년 03월 26일","0.3029","0.3031","0.3038","0.2948","75.95M","-0.03%"
"2019년 03월 25일","0.3030","0.3076","0.3080","0.2999","84.47M","-1.53%"
"2019년 03월 24일","0.3077","0.3117","0.3117","0.3056","54.36M","-1.28%"
"2019년 03월 23일","0.3117","0.3103","0.3127","0.3090","57.35M","0.39%"
"2019년 03월 22일","0.3105","0.3096","0.3124","0.3071","59.92M","0.26%"
"2019년 03월 21일","0.3097","0.3178","0.3191","0.3028","101.10M","-2.58%"
"2019년 03월 20일","0.3179","0.3157","0.3222","0.3116","92.39M","0.63%"
"2019년 03월 19일","0.3159","0.3146","0.3165","0.3126","57.02M","0.41%"
"2019년 03월 18일","0.3146","0.3153","0.3193","0.3121","68.64M","-0.29%"
"2019년 03월 17일","0.3155","0.3185","0.3189","0.3140","40.26M","-0.94%"
"2019년 03월 16일","0.3185","0.3147","0.3226","0.3145","107.01M","1.14%"
"2019년 03월 15일","0.3149","0.3112","0.3166","0.3107","56.37M","1.19%"
"2019년 03월 14일","0.3112","0.3134","0.3162","0.3065","79.37M","-0.77%"
"2019년 03월 13일","0.3136","0.3104","0.3252","0.3075","92.70M","1.06%"
"2019년 03월 12일","0.3103","0.3098","0.3118","0.3056","38.13M","0.06%"
"2019년 03월 11일","0.3101","0.3129","0.3143","0.3072","56.15M","-0.86%"
"2019년 03월 10일","0.3128","0.3138","0.3169","0.3090","50.11M","-0.29%"
"2019년 03월 09일","0.3137","0.3076","0.3184","0.3071","98.88M","1.95%"
"2019년 03월 08일","0.3077","0.3133","0.3161","0.3048","79.74M","-1.76%"
"2019년 03월 07일","0.3132","0.3162","0.3193","0.3125","72.13M","-0.92%"
"2019년 03월 06일","0.3161","0.3149","0.3210","0.3098","80.63M","0.38%"
"2019년 03월 05일","0.3149","0.3020","0.3175","0.3008","83.26M","4.20%"
"2019년 03월 04일","0.3022","0.3110","0.3120","0.2975","62.72M","-2.80%"
"2019년 03월 03일","0.3109","0.3137","0.3150","0.3084","40.67M","-0.89%"
"2019년 03월 02일","0.3137","0.3156","0.3180","0.3101","66.26M","-0.54%"
"2019년 03월 01일","0.3154","0.3136","0.3233","0.3116","77.62M","0.57%"
"2019년 02월 28일","0.3136","0.3108","0.3167","0.3068","93.66M","0.97%"
"2019년 02월 27일","0.3106","0.3163","0.3184","0.3009","80.55M","-1.83%"
"2019년 02월 26일","0.3164","0.3272","0.3343","0.3137","122.48M","-3.33%"
"2019년 02월 25일","0.3273","0.2974","0.3388","0.2972","157.36M","10.13%"
"2019년 02월 24일","0.2972","0.3327","0.3435","0.2930","292.36M","-10.64%"
"2019년 02월 23일","0.3326","0.3210","0.3335","0.3178","92.56M","3.65%"
"2019년 02월 22일","0.3209","0.3207","0.3233","0.3160","61.44M","0.12%"
"2019년 02월 21일","0.3205","0.3311","0.3329","0.3173","72.16M","-3.38%"
"2019년 02월 20일","0.3317","0.3230","0.3349","0.3177","117.02M","2.73%"
"2019년 02월 19일","0.3229","0.3270","0.3474","0.3192","178.26M","0.31%"
"2019년 02월 18일","0.3219","0.3034","0.3284","0.3020","114.93M","6.13%"
"2019년 02월 17일","0.3033","0.3004","0.3077","0.2986","38.02M","0.90%"
"2019년 02월 16일","0.3006","0.3008","0.3034","0.2998","30.08M","-0.40%"
"2019년 02월 15일","0.3018","0.3007","0.3063","0.2982","36.39M","0.30%"
"2019년 02월 14일","0.3009","0.3038","0.3053","0.2999","28.32M","-0.95%"
"2019년 02월 13일","0.3038","0.3051","0.3133","0.3012","54.87M","-0.46%"
"2019년 02월 12일","0.3052","0.3024","0.3082","0.2978","39.27M","0.93%"
"2019년 02월 11일","0.3024","0.3097","0.3101","0.3016","45.07M","-2.42%"
"2019년 02월 10일","0.3099","0.3122","0.3127","0.2992","48.53M","-0.74%"
"2019년 02월 09일","0.3122","0.3122","0.3163","0.3077","43.88M","0.03%"
"2019년 02월 08일","0.3121","0.2914","0.3198","0.2897","80.89M","7.10%"
"2019년 02월 07일","0.2914","0.2897","0.2945","0.2892","20.85M","0.66%"
"2019년 02월 06일","0.2895","0.2996","0.3008","0.2889","39.45M","-3.31%"
"2019년 02월 05일","0.2994","0.2992","0.3017","0.2968","26.23M","0.00%"
"2019년 02월 04일","0.2994","0.3023","0.3056","0.2976","26.56M","-0.96%"
"2019년 02월 03일","0.3023","0.3104","0.3119","0.2976","37.21M","-2.48%"
"2019년 02월 02일","0.3100","0.3064","0.3134","0.3044","34.32M","1.17%"
"2019년 02월 01일","0.3064","0.3094","0.3110","0.2956","61.35M","-0.81%"
"2019년 01월 31일","0.3089","0.3213","0.3353","0.3040","96.01M","-3.80%"
"2019년 01월 30일","0.3211","0.2868","0.3258","0.2850","88.11M","11.84%"
"2019년 01월 29일","0.2871","0.2922","0.2938","0.2820","37.12M","-1.75%"
