"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 12월 01일","0.3722","0.3644","0.3783","0.3568","73.23M","2.14%"
"2018년 11월 30일","0.3644","0.3817","0.3832","0.3552","83.18M","-4.53%"
"2018년 11월 29일","0.3817","0.3921","0.3948","0.3650","101.19M","-2.65%"
"2018년 11월 28일","0.3921","0.3648","0.4033","0.3648","113.81M","7.48%"
"2018년 11월 27일","0.3648","0.3637","0.3761","0.3463","100.03M","0.30%"
"2018년 11월 26일","0.3637","0.3821","0.3999","0.3470","247.98M","-4.82%"
"2018년 11월 25일","0.3821","0.3798","0.4250","0.3290","226.27M","0.61%"
"2018년 11월 24일","0.3798","0.4145","0.4282","0.3700","96.09M","-8.37%"
"2018년 11월 23일","0.4145","0.4272","0.4345","0.3985","131.33M","-2.97%"
"2018년 11월 22일","0.4272","0.4535","0.4576","0.4243","69.29M","-5.80%"
"2018년 11월 21일","0.4535","0.4433","0.4692","0.4198","107.60M","2.30%"
"2018년 11월 20일","0.4433","0.4829","0.5091","0.4141","167.01M","-8.20%"
"2018년 11월 19일","0.4829","0.5155","0.5162","0.4675","137.55M","-6.32%"
"2018년 11월 18일","0.5155","0.4983","0.5330","0.4954","69.91M","3.45%"
"2018년 11월 17일","0.4983","0.4777","0.5046","0.4695","37.72M","4.31%"
"2018년 11월 16일","0.4777","0.4888","0.4954","0.4650","62.48M","-2.27%"
"2018년 11월 15일","0.4888","0.4843","0.4955","0.4314","138.89M","0.93%"
"2018년 11월 14일","0.4843","0.5175","0.5200","0.4143","140.45M","-6.42%"
"2018년 11월 13일","0.5175","0.5245","0.5347","0.5115","78.80M","-1.33%"
"2018년 11월 12일","0.5245","0.5104","0.5374","0.5037","60.85M","2.76%"
"2018년 11월 11일","0.5104","0.5091","0.5121","0.4974","30.61M","0.26%"
"2018년 11월 10일","0.5091","0.5046","0.5174","0.5030","30.15M","0.89%"
"2018년 11월 09일","0.5046","0.4971","0.5227","0.4960","61.98M","1.51%"
"2018년 11월 08일","0.4971","0.5401","0.5461","0.4931","79.50M","-7.96%"
"2018년 11월 07일","0.5401","0.5549","0.5554","0.5280","58.97M","-2.67%"
"2018년 11월 06일","0.5549","0.5017","0.5693","0.5013","93.19M","10.60%"
"2018년 11월 05일","0.5017","0.4699","0.5052","0.4636","32.38M","6.77%"
"2018년 11월 04일","0.4699","0.4574","0.4787","0.4498","27.73M","2.73%"
"2018년 11월 03일","0.4574","0.4628","0.4639","0.4551","11.40M","-1.17%"
"2018년 11월 02일","0.4628","0.4604","0.4671","0.4588","17.92M","0.52%"
"2018년 11월 01일","0.4604","0.4541","0.4614","0.4503","12.96M","1.39%"
"2018년 10월 31일","0.4541","0.4475","0.4607","0.4363","14.80M","1.47%"
"2018년 10월 30일","0.4475","0.4453","0.4536","0.4442","13.70M","0.49%"
"2018년 10월 29일","0.4453","0.4641","0.4651","0.4358","17.21M","-4.05%"
"2018년 10월 28일","0.4641","0.4606","0.4668","0.4582","9.42M","0.76%"
"2018년 10월 27일","0.4606","0.4661","0.4676","0.4578","9.28M","-1.18%"
"2018년 10월 26일","0.4661","0.4641","0.4703","0.4591","13.98M","0.43%"
"2018년 10월 25일","0.4641","0.4642","0.4727","0.4571","17.92M","-0.02%"
"2018년 10월 24일","0.4642","0.4700","0.4785","0.4606","20.88M","-1.23%"
