"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 03월 18일","67,800","69,200","69,300","67,300","2.15M","-0.44%"
"2019년 03월 15일","68,100","67,400","68,700","66,700","3.46M","1.19%"
"2019년 03월 14일","67,300","67,400","67,400","66,400","3.10M","0.75%"
"2019년 03월 13일","66,800","67,700","67,800","65,900","2.85M","-1.33%"
"2019년 03월 12일","67,700","67,700","68,600","67,500","2.75M","1.65%"
"2019년 03월 11일","66,600","67,000","67,800","66,200","2.86M","-0.15%"
"2019년 03월 08일","66,700","67,900","68,200","66,200","3.55M","-2.06%"
"2019년 03월 07일","68,100","67,200","68,900","67,100","3.39M","0.00%"
"2019년 03월 06일","68,100","68,500","69,600","67,400","4.89M","-2.30%"
"2019년 03월 05일","69,700","68,300","70,000","68,300","3.46M","-0.57%"
"2019년 03월 04일","70,100","70,300","71,400","69,900","4.90M","0.14%"
"2019년 02월 28일","70,000","72,500","72,600","69,900","7.79M","-5.02%"
"2019년 02월 27일","73,700","75,300","75,700","73,700","2.86M","-1.99%"
"2019년 02월 26일","75,200","75,000","75,900","74,100","2.48M","-0.27%"
"2019년 02월 25일","75,400","77,300","77,600","74,800","2.86M","-1.69%"
"2019년 02월 22일","76,700","75,600","76,700","75,300","1.88M","0.00%"
"2019년 02월 21일","76,700","75,300","77,200","74,600","2.87M","1.32%"
"2019년 02월 20일","75,700","73,700","76,000","73,600","3.13M","2.71%"
"2019년 02월 19일","73,700","74,500","74,800","73,000","1.46M","-1.34%"
"2019년 02월 18일","74,700","74,300","75,300","74,000","1.77M","1.22%"
"2019년 02월 15일","73,800","76,800","76,900","73,800","3.99M","-4.65%"
"2019년 02월 14일","77,400","75,800","77,400","75,100","2.31M","1.57%"
"2019년 02월 13일","76,200","77,300","77,600","76,100","2.36M","0.40%"
"2019년 02월 12일","75,900","74,100","76,400","73,900","3.50M","2.43%"
"2019년 02월 11일","74,100","73,000","74,100","72,200","3.37M","0.82%"
"2019년 02월 08일","73,500","75,200","75,500","73,000","4.00M","-4.17%"
"2019년 02월 07일","76,700","77,500","78,200","76,600","4.13M","1.05%"
"2019년 02월 01일","75,900","75,400","76,400","74,700","3.34M","2.71%"
"2019년 01월 31일","73,900","76,900","77,100","73,700","4.36M","-2.64%"
"2019년 01월 30일","75,900","73,500","76,300","73,000","5.29M","3.41%"
"2019년 01월 29일","73,400","71,400","73,800","71,000","3.37M","2.23%"
"2019년 01월 28일","71,800","74,700","74,900","71,200","4.89M","-3.75%"
"2019년 01월 25일","74,600","71,600","74,800","71,100","7.04M","5.82%"
"2019년 01월 24일","70,500","66,900","70,500","66,900","6.89M","5.54%"
"2019년 01월 23일","66,800","65,500","67,200","64,800","2.82M","0.30%"
"2019년 01월 22일","66,600","67,900","68,000","65,700","4.00M","-0.60%"
"2019년 01월 21일","67,000","65,900","67,400","65,000","3.77M","3.72%"
"2019년 01월 18일","64,600","65,000","65,700","63,900","2.05M","-0.46%"
"2019년 01월 17일","64,900","65,500","66,200","64,600","2.47M","0.15%"
"2019년 01월 16일","64,800","63,800","64,900","62,700","2.47M","1.25%"
"2019년 01월 15일","64,000","62,200","64,000","62,200","2.41M","3.06%"
"2019년 01월 14일","62,100","64,300","65,100","62,000","3.28M","-4.61%"
"2019년 01월 11일","65,100","65,400","65,900","64,200","2.78M","-0.31%"
"2019년 01월 10일","65,300","64,100","65,600","64,000","5.32M","2.67%"
"2019년 01월 09일","63,600","59,600","63,800","59,400","4.92M","7.43%"
"2019년 01월 08일","59,200","57,900","60,500","57,600","3.06M","0.85%"
"2019년 01월 07일","58,700","59,000","59,700","58,400","2.17M","0.69%"
"2019년 01월 04일","58,300","57,500","58,500","56,700","3.37M","1.04%"
"2019년 01월 03일","57,700","60,200","60,300","57,500","3.32M","-4.79%"
"2019년 01월 02일","60,600","61,300","61,400","60,000","1.92M","0.17%"
"2018년 12월 28일","60,500","61,700","62,300","60,500","1.61M","-1.79%"
"2018년 12월 27일","61,600","61,600","61,900","60,600","3.04M","2.50%"
"2018년 12월 26일","60,100","59,400","60,800","59,300","2.44M","-0.50%"
"2018년 12월 24일","60,400","59,600","60,700","59,200","2.05M","0.67%"
"2018년 12월 21일","60,000","58,200","60,500","58,200","3.93M","2.39%"
"2018년 12월 20일","58,600","59,300","59,400","58,100","4.52M","-2.82%"
"2018년 12월 19일","60,300","60,800","61,000","59,700","3.54M","-1.31%"
"2018년 12월 18일","61,100","61,000","61,900","60,800","3.09M","-1.77%"
"2018년 12월 17일","62,200","61,600","62,500","61,000","2.50M","0.65%"
"2018년 12월 14일","61,800","65,200","65,300","61,200","5.47M","-5.65%"
"2018년 12월 13일","65,500","66,300","66,400","64,800","4.03M","-1.06%"
"2018년 12월 12일","66,200","65,000","66,200","64,900","2.56M","2.00%"
"2018년 12월 11일","64,900","66,000","66,600","64,800","2.40M","-0.92%"
"2018년 12월 10일","65,500","65,900","65,900","64,700","2.20M","-1.95%"
"2018년 12월 07일","66,800","66,700","67,400","66,600","2.53M","1.21%"
"2018년 12월 06일","66,000","67,800","68,200","65,700","3.73M","-3.23%"
"2018년 12월 05일","68,200","67,200","68,800","67,200","2.84M","-1.16%"
"2018년 12월 04일","69,000","69,900","70,400","68,400","3.21M","-2.13%"
"2018년 12월 03일","70,500","71,000","71,100","69,800","2.69M","1.29%"
"2018년 11월 30일","69,600","71,500","71,600","68,800","4.16M","-2.66%"
"2018년 11월 29일","71,500","73,700","73,700","71,200","3.26M","-0.56%"
"2018년 11월 28일","71,900","71,000","72,000","70,700","2.43M","1.55%"
"2018년 11월 27일","70,800","71,100","71,200","69,700","2.29M","-0.14%"
"2018년 11월 26일","70,900","69,200","71,300","69,000","2.35M","2.16%"
"2018년 11월 25일","69,400","69,300","69,400","69,100","-","0.14%"
"2018년 11월 23일","69,300","69,500","69,700","68,400","1.49M","0.00%"
"2018년 11월 22일","69,300","68,100","69,700","68,000","1.96M","1.76%"
"2018년 11월 21일","68,100","66,900","68,300","66,100","3.09M","0.89%"
"2018년 11월 20일","67,500","67,000","68,200","67,000","3.24M","-3.30%"
"2018년 11월 19일","69,800","69,600","70,500","68,900","2.30M","0.00%"
"2018년 11월 18일","69,800","69,700","69,800","69,700","-","-0.43%"
"2018년 11월 16일","70,100","72,600","72,900","70,000","2.88M","-2.37%"
"2018년 11월 15일","71,800","70,800","71,800","70,400","1.56M","1.99%"
"2018년 11월 14일","70,400","71,400","72,100","70,200","2.77M","-2.09%"
"2018년 11월 13일","71,900","72,300","72,500","69,900","4.60M","-3.49%"
"2018년 11월 12일","74,500","72,200","74,500","71,800","3.33M","3.33%"
"2018년 11월 11일","72,100","72,200","72,200","72,100","-","-1.10%"
"2018년 11월 09일","72,900","72,400","73,600","71,900","3.36M","0.00%"
"2018년 11월 08일","72,900","72,900","73,300","72,600","3.93M","2.97%"
