"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 09월 08일","4.7428","5.0572","5.1441","4.6432","22.00M","-6.22%"
"2018년 09월 07일","5.0576","5.2338","5.3293","4.9462","28.29M","-3.33%"
"2018년 09월 06일","5.2319","5.1515","5.2469","4.8537","41.98M","1.56%"
"2018년 09월 05일","5.1513","6.4807","6.5761","5.1350","54.00M","-20.51%"
"2018년 09월 04일","6.4807","6.4652","6.6248","6.3324","24.22M","0.20%"
"2018년 09월 03일","6.4678","6.6340","6.7113","6.3816","22.41M","-2.51%"
"2018년 09월 02일","6.6340","6.6623","6.6867","6.3296","28.25M","-0.42%"
"2018년 09월 01일","6.6623","6.4135","6.8056","6.4091","30.50M","3.89%"
"2018년 08월 31일","6.4126","6.0742","6.4863","5.9335","31.32M","5.57%"
"2018년 08월 30일","6.0742","6.1367","6.2564","5.7636","32.66M","-1.03%"
"2018년 08월 29일","6.1371","5.9098","6.4682","5.7934","46.56M","3.84%"
"2018년 08월 28일","5.9102","5.3820","6.0199","5.2983","31.34M","9.81%"
"2018년 08월 27일","5.3823","4.9497","5.3990","4.9072","29.25M","8.74%"
"2018년 08월 26일","4.9497","5.0324","5.0448","4.8277","18.22M","-1.64%"
"2018년 08월 25일","5.0324","5.0442","5.0667","4.9103","15.60M","-0.23%"
"2018년 08월 24일","5.0442","4.8999","5.1034","4.7801","31.88M","2.94%"
"2018년 08월 23일","4.8999","4.7036","4.9446","4.6617","24.40M","4.17%"
"2018년 08월 22일","4.7036","4.9027","5.3311","4.5306","39.15M","-4.06%"
"2018년 08월 21일","4.9027","4.7050","4.9502","4.6711","24.10M","4.20%"
"2018년 08월 20일","4.7050","5.2906","5.3514","4.6681","33.43M","-11.07%"
"2018년 08월 19일","5.2906","5.0800","5.3814","4.9481","37.36M","4.15%"
"2018년 08월 18일","5.0800","5.5813","5.6439","4.8369","56.26M","-8.98%"
"2018년 08월 17일","5.5812","4.5167","5.5812","4.4971","58.71M","23.61%"
"2018년 08월 16일","4.5150","4.6228","4.8079","4.4443","45.25M","-2.33%"
"2018년 08월 15일","4.6228","4.5738","4.9110","4.5592","44.66M","1.07%"
"2018년 08월 14일","4.5737","4.5814","4.5846","4.1798","43.82M","-0.15%"
"2018년 08월 13일","4.5806","4.9663","5.1534","4.4902","43.76M","-7.77%"
"2018년 08월 12일","4.9663","4.9609","5.1656","4.9098","32.10M","0.12%"
"2018년 08월 11일","4.9606","5.2455","5.3087","4.8368","39.90M","-5.40%"
"2018년 08월 10일","5.2435","5.7600","5.8042","5.1678","43.00M","-8.93%"
"2018년 08월 09일","5.7579","5.5823","5.9355","5.4219","36.54M","3.22%"
"2018년 08월 08일","5.5782","6.5667","6.5667","5.3345","55.42M","-15.05%"
"2018년 08월 07일","6.5665","7.0502","7.1794","6.5316","31.90M","-6.88%"
"2018년 08월 06일","7.0517","7.0322","7.1544","6.9430","23.22M","0.28%"
"2018년 08월 05일","7.0322","6.9761","7.0854","6.9121","19.71M","0.80%"
"2018년 08월 04일","6.9761","7.1790","7.3052","6.8905","20.65M","-2.83%"
"2018년 08월 03일","7.1790","7.0189","7.2457","6.8643","24.10M","2.28%"
"2018년 08월 02일","7.0189","7.2231","7.3171","6.9056","28.92M","-2.79%"
"2018년 08월 01일","7.2206","7.3256","7.3966","6.8843","28.45M","-1.41%"
"2018년 07월 31일","7.3235","7.7415","7.7489","7.1100","29.38M","-5.45%"
"2018년 07월 30일","7.7453","8.3292","8.3457","7.4503","31.15M","-7.01%"
"2018년 07월 29일","8.3292","8.3706","8.4489","8.1495","14.94M","-0.50%"
"2018년 07월 28일","8.3710","8.4296","8.4451","8.1211","11.74M","-0.71%"
"2018년 07월 27일","8.4306","8.3033","8.5295","8.0109","23.72M","1.53%"
"2018년 07월 26일","8.3039","8.5224","8.8575","8.2160","22.86M","-2.56%"
"2018년 07월 25일","8.5224","8.5956","8.9636","8.3561","27.53M","-0.85%"
"2018년 07월 24일","8.5956","7.9326","8.6857","7.7217","38.50M","8.36%"
"2018년 07월 23일","7.9326","7.8568","8.4072","7.8139","32.66M","0.91%"
"2018년 07월 22일","7.8608","8.0023","8.2578","7.7320","16.88M","-1.77%"
"2018년 07월 21일","8.0023","7.8549","8.2440","7.5989","16.57M","1.88%"
"2018년 07월 20일","7.8549","8.4221","8.5118","7.7283","32.00M","-6.73%"
"2018년 07월 19일","8.4221","8.6055","8.7507","8.1578","29.52M","-2.13%"
"2018년 07월 18일","8.6050","8.7796","9.3304","8.4492","33.84M","-1.99%"
"2018년 07월 17일","8.7794","8.0964","8.9548","7.8402","33.51M","8.44%"
"2018년 07월 16일","8.0964","7.4031","8.1671","7.2389","28.27M","9.36%"
"2018년 07월 15일","7.4031","6.9312","7.5129","6.8647","21.47M","6.81%"
"2018년 07월 14일","6.9312","6.8999","7.0879","6.7842","24.85M","0.45%"
"2018년 07월 13일","6.8999","6.8961","7.1938","6.6916","26.50M","0.05%"
"2018년 07월 12일","6.8961","7.0775","7.0983","6.5355","29.77M","-2.56%"
"2018년 07월 11일","7.0775","7.1004","7.3624","6.7343","39.22M","-0.33%"
"2018년 07월 10일","7.1011","7.7167","7.8156","7.0515","44.52M","-7.84%"
"2018년 07월 09일","7.7054","8.6924","8.6979","7.4848","23.60M","-11.35%"
"2018년 07월 08일","8.6923","8.8588","8.9934","8.6836","30.77M","-1.87%"
"2018년 07월 07일","8.8583","8.6467","8.9062","8.3988","14.77M","2.45%"
"2018년 07월 06일","8.6467","8.8609","8.8768","8.3263","20.18M","-2.40%"
"2018년 07월 05일","8.8597","8.8876","9.2033","8.6786","21.17M","-0.31%"
"2018년 07월 04일","8.8876","8.8151","9.3897","8.5095","25.12M","0.87%"
"2018년 07월 03일","8.8107","8.9729","9.4653","8.7341","31.60M","-1.81%"
"2018년 07월 02일","8.9728","8.1259","9.1379","7.9343","30.24M","10.42%"
"2018년 07월 01일","8.1259","8.1194","8.3821","7.7896","16.99M","0.08%"
"2018년 06월 30일","8.1191","7.7582","8.2867","7.7582","25.27M","4.65%"
"2018년 06월 29일","7.7582","7.3798","7.9039","7.1013","26.33M","5.13%"
"2018년 06월 28일","7.3798","7.9930","8.0483","7.3190","22.82M","-7.68%"
"2018년 06월 27일","7.9934","7.3781","8.2427","7.2797","27.08M","8.27%"
"2018년 06월 26일","7.3828","8.1763","8.2550","7.3617","26.82M","-9.70%"
"2018년 06월 25일","8.1761","7.9975","8.4856","7.6815","30.84M","2.23%"
"2018년 06월 24일","7.9980","8.3482","8.4034","6.9217","62.31M","-4.19%"
"2018년 06월 23일","8.3477","8.5355","8.7508","8.0274","23.49M","-2.21%"
"2018년 06월 22일","8.5363","10.4088","10.4354","8.2785","45.29M","-18.00%"
"2018년 06월 21일","10.4099","10.4203","10.8354","10.2370","14.45M","-0.13%"
"2018년 06월 20일","10.4230","10.7064","10.7700","10.1985","16.06M","-2.67%"
"2018년 06월 19일","10.7091","10.6851","10.8661","10.4436","14.75M","0.23%"
"2018년 06월 18일","10.6845","10.3244","10.8534","10.1399","16.09M","3.50%"
"2018년 06월 17일","10.3229","10.5373","10.7037","10.2830","11.63M","-2.03%"
"2018년 06월 16일","10.5373","10.5104","10.7933","10.1941","19.12M","0.25%"
"2018년 06월 15일","10.5108","11.2100","11.2294","10.3750","26.56M","-6.17%"
"2018년 06월 14일","11.2020","10.0094","11.5889","9.4657","42.37M","11.92%"
"2018년 06월 13일","10.0093","10.0156","10.3187","9.1316","40.35M","-0.06%"
"2018년 06월 12일","10.0156","11.3228","11.3385","9.6797","31.96M","-11.55%"
"2018년 06월 11일","11.3235","11.0376","11.4589","10.3890","42.39M","2.59%"
"2018년 06월 10일","11.0376","14.0521","14.0521","10.0892","67.48M","-21.45%"
"2018년 06월 09일","14.0517","13.9827","14.9481","13.9518","23.80M","0.50%"
"2018년 06월 08일","13.9823","14.6355","14.8067","13.5495","24.54M","-4.40%"
"2018년 06월 07일","14.6266","13.9024","14.6480","13.6644","19.03M","5.20%"
"2018년 06월 06일","13.9030","14.1584","14.2626","13.3622","19.04M","-1.76%"
"2018년 06월 05일","14.1527","13.4674","14.2198","12.8215","30.99M","5.09%"
"2018년 06월 04일","13.4678","14.5358","14.8411","13.2411","28.13M","-7.35%"
"2018년 06월 03일","14.5355","14.7661","15.4215","14.2845","29.96M","-1.56%"
"2018년 06월 02일","14.7664","12.2155","15.5607","12.1232","58.64M","20.88%"
"2018년 06월 01일","12.2159","12.2479","12.4096","11.9060","21.73M","-0.24%"
