"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 04월 22일","0.11261","0.11166","0.11403","0.10931","466.03M","0.84%"
"2019년 04월 21일","0.11167","0.11500","0.11508","0.10850","446.89M","-2.91%"
"2019년 04월 20일","0.11501","0.11472","0.11656","0.11222","367.17M","0.26%"
"2019년 04월 19일","0.11472","0.11659","0.11667","0.11328","404.17M","-1.60%"
"2019년 04월 18일","0.11659","0.11587","0.11825","0.11464","457.31M","0.62%"
"2019년 04월 17일","0.11588","0.11393","0.11693","0.11327","417.35M","1.71%"
"2019년 04월 16일","0.11393","0.11364","0.11595","0.11137","371.18M","0.26%"
"2019년 04월 15일","0.11364","0.11703","0.11851","0.11204","407.06M","-2.90%"
"2019년 04월 14일","0.11703","0.11524","0.12185","0.11315","414.41M","1.55%"
"2019년 04월 13일","0.11524","0.11385","0.11650","0.11294","357.28M","1.22%"
"2019년 04월 12일","0.11385","0.11483","0.11582","0.11028","429.05M","-0.86%"
"2019년 04월 11일","0.11483","0.12637","0.12665","0.11049","555.89M","-9.13%"
"2019년 04월 10일","0.12637","0.12601","0.12817","0.12538","426.96M","0.29%"
"2019년 04월 09일","0.12600","0.13050","0.13054","0.12461","442.18M","-3.45%"
"2019년 04월 08일","0.13050","0.13056","0.13497","0.12501","529.76M","-0.05%"
"2019년 04월 07일","0.13056","0.12440","0.13184","0.12245","502.39M","4.95%"
"2019년 04월 06일","0.12440","0.12611","0.12799","0.12247","506.63M","-1.36%"
"2019년 04월 05일","0.12611","0.11811","0.12830","0.11805","569.30M","6.82%"
"2019년 04월 04일","0.11806","0.12057","0.12468","0.11581","682.32M","-2.09%"
"2019년 04월 03일","0.12057","0.12120","0.13321","0.11689","907.59M","-0.52%"
"2019년 04월 02일","0.12120","0.10890","0.12153","0.10862","844.95M","11.28%"
"2019년 04월 01일","0.10892","0.10836","0.11163","0.10641","425.11M","0.51%"
"2019년 03월 31일","0.10836","0.10716","0.10848","0.10640","339.01M","1.12%"
"2019년 03월 30일","0.10716","0.10759","0.10762","0.10526","406.48M","-0.40%"
"2019년 03월 29일","0.10759","0.10657","0.10809","0.10573","413.21M","0.96%"
"2019년 03월 28일","0.10657","0.10714","0.10714","0.10401","335.69M","-0.53%"
"2019년 03월 27일","0.10714","0.10316","0.10735","0.10273","390.69M","3.86%"
"2019년 03월 26일","0.10316","0.10121","0.10396","0.09890","392.45M","1.93%"
"2019년 03월 25일","0.10120","0.10508","0.10521","0.10050","441.43M","-3.68%"
"2019년 03월 24일","0.10507","0.10779","0.10780","0.10413","366.99M","-2.51%"
"2019년 03월 23일","0.10778","0.10799","0.10892","0.10602","383.40M","-0.21%"
"2019년 03월 22일","0.10800","0.10639","0.10928","0.10498","462.31M","1.53%"
"2019년 03월 21일","0.10637","0.11013","0.11087","0.10216","569.95M","-3.41%"
"2019년 03월 20일","0.11013","0.11298","0.11336","0.10937","606.99M","-2.53%"
"2019년 03월 19일","0.11298","0.11476","0.11837","0.11190","530.01M","-1.55%"
"2019년 03월 18일","0.11476","0.10865","0.11692","0.10652","625.78M","5.63%"
"2019년 03월 17일","0.10865","0.10817","0.10883","0.10633","428.87M","0.44%"
"2019년 03월 16일","0.10817","0.10609","0.10941","0.10605","540.98M","1.96%"
"2019년 03월 15일","0.10609","0.10645","0.10801","0.10360","460.69M","-0.34%"
"2019년 03월 14일","0.10646","0.10903","0.11216","0.10556","578.76M","-2.35%"
"2019년 03월 13일","0.10902","0.10523","0.11099","0.10082","482.15M","3.60%"
"2019년 03월 12일","0.10523","0.10193","0.10705","0.09662","518.74M","3.25%"
"2019년 03월 11일","0.10193","0.10017","0.10912","0.09901","845.15M","1.77%"
"2019년 03월 10일","0.10015","0.09012","0.10348","0.08950","834.05M","11.13%"
