"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 04월 05일","7,446.87","7,401.94","7,461.39","7,400.79","700.98M","0.61%"
"2019년 04월 04일","7,401.94","7,418.28","7,418.43","7,367.44","696.56M","-0.22%"
"2019년 04월 03일","7,418.28","7,391.12","7,418.31","7,380.93","908.00M","0.37%"
"2019년 04월 02일","7,391.12","7,317.38","7,403.56","7,316.81","742.82M","1.01%"
"2019년 04월 01일","7,317.38","7,279.19","7,352.15","7,279.19","718.29M","0.52%"
"2019년 03월 29일","7,279.19","7,234.33","7,287.72","7,223.30","818.95M","0.62%"
"2019년 03월 28일","7,234.33","7,194.19","7,265.47","7,190.87","585.60M","0.56%"
"2019년 03월 27일","7,194.19","7,196.29","7,222.64","7,160.14","699.73M","-0.03%"
"2019년 03월 26일","7,196.29","7,177.58","7,221.02","7,169.37","649.06M","0.26%"
"2019년 03월 25일","7,177.58","7,207.59","7,208.09","7,146.83","604.28M","-0.42%"
"2019년 03월 22일","7,207.59","7,355.31","7,356.37","7,192.76","716.21M","-2.01%"
"2019년 03월 21일","7,355.31","7,291.01","7,370.61","7,290.62","731.35M","0.88%"
"2019년 03월 20일","7,291.01","7,324.00","7,341.57","7,291.01","771.73M","-0.45%"
"2019년 03월 19일","7,324.00","7,299.19","7,350.10","7,294.50","617.24M","0.34%"
"2019년 03월 18일","7,299.19","7,228.28","7,299.19","7,228.19","662.83M","0.98%"
"2019년 03월 15일","7,228.28","7,185.43","7,243.80","7,185.43","1.38B","0.60%"
"2019년 03월 14일","7,185.43","7,159.19","7,215.45","7,148.08","815.71M","0.37%"
"2019년 03월 13일","7,159.19","7,151.15","7,181.85","7,128.71","767.65M","0.11%"
"2019년 03월 12일","7,151.15","7,130.62","7,166.55","7,083.22","775.29M","0.29%"
"2019년 03월 11일","7,130.62","7,104.31","7,181.61","7,104.31","695.14M","0.37%"
"2019년 03월 08일","7,104.31","7,157.55","7,157.55","7,077.93","640.78M","-0.74%"
"2019년 03월 07일","7,157.55","7,196.00","7,196.00","7,126.57","712.68M","-0.53%"
"2019년 03월 06일","7,196.00","7,183.43","7,211.83","7,170.25","816.15M","0.17%"
"2019년 03월 05일","7,183.43","7,134.39","7,191.65","7,127.18","819.86M","0.69%"
"2019년 03월 04일","7,134.39","7,106.73","7,166.19","7,106.73","654.23M","0.39%"
"2019년 03월 01일","7,106.73","7,074.73","7,129.72","7,074.73","722.48M","0.45%"
"2019년 02월 28일","7,074.73","7,107.20","7,107.20","7,041.03","1.01B","-0.46%"
"2019년 02월 27일","7,107.20","7,151.12","7,151.12","7,082.62","897.62M","-0.61%"
"2019년 02월 26일","7,151.12","7,183.74","7,183.79","7,091.59","892.46M","-0.45%"
"2019년 02월 25일","7,183.74","7,178.60","7,210.70","7,158.19","664.87M","0.07%"
"2019년 02월 22일","7,178.60","7,167.39","7,220.52","7,162.37","666.72M","0.16%"
"2019년 02월 21일","7,167.39","7,228.62","7,228.78","7,141.85","822.59M","-0.85%"
"2019년 02월 20일","7,228.62","7,179.17","7,234.16","7,177.95","887.89M","0.69%"
"2019년 02월 19일","7,179.17","7,219.47","7,219.53","7,162.80","643.41M","-0.56%"
"2019년 02월 18일","7,219.47","7,236.68","7,242.09","7,209.70","453.43M","-0.24%"
"2019년 02월 15일","7,236.68","7,197.01","7,261.63","7,185.23","709.70M","0.55%"
"2019년 02월 14일","7,197.01","7,190.84","7,232.83","7,183.01","535.04M","0.09%"
"2019년 02월 13일","7,190.84","7,133.14","7,205.07","7,133.14","578.84M","0.81%"
"2019년 02월 12일","7,133.14","7,129.11","7,168.61","7,121.72","542.97M","0.06%"
"2019년 02월 11일","7,129.11","7,071.18","7,149.23","7,071.18","565.26M","0.82%"
"2019년 02월 08일","7,071.18","7,093.58","7,115.83","7,064.90","548.73M","-0.32%"
"2019년 02월 07일","7,093.58","7,173.09","7,187.51","7,093.58","669.72M","-1.11%"
"2019년 02월 06일","7,173.09","7,177.37","7,184.22","7,146.65","618.00M","-0.06%"
"2019년 02월 05일","7,177.37","7,034.13","7,180.71","7,033.57","683.46M","2.04%"
"2019년 02월 04일","7,034.13","7,020.22","7,046.58","7,002.42","630.90M","0.20%"
"2019년 02월 01일","7,020.22","6,968.85","7,024.45","6,968.85","645.35M","0.74%"
"2019년 01월 31일","6,968.85","6,941.63","6,994.88","6,941.09","893.09M","0.39%"
"2019년 01월 30일","6,941.63","6,833.93","6,967.70","6,833.93","771.90M","1.58%"
"2019년 01월 29일","6,833.93","6,747.10","6,860.34","6,747.10","718.59M","1.29%"
"2019년 01월 28일","6,747.10","6,809.22","6,812.53","6,734.00","668.24M","-0.91%"
"2019년 01월 25일","6,809.22","6,818.95","6,858.19","6,806.77","749.99M","-0.14%"
"2019년 01월 24일","6,818.95","6,842.88","6,854.59","6,802.03","618.51M","-0.35%"
"2019년 01월 23일","6,842.88","6,901.39","6,901.63","6,834.30","666.01M","-0.85%"
"2019년 01월 22일","6,901.39","6,970.59","6,970.59","6,880.69","583.46M","-0.99%"
"2019년 01월 21일","6,970.59","6,968.33","6,987.93","6,954.52","488.78M","0.03%"
"2019년 01월 18일","6,968.33","6,834.92","6,984.36","6,834.92","820.33M","1.95%"
"2019년 01월 17일","6,834.92","6,862.68","6,862.68","6,799.03","600.66M","-0.40%"
"2019년 01월 16일","6,862.68","6,895.02","6,912.44","6,848.57","811.96M","-0.47%"
"2019년 01월 15일","6,895.02","6,855.02","6,910.45","6,849.63","708.58M","0.58%"
"2019년 01월 14일","6,855.02","6,918.18","6,918.21","6,841.74","704.57M","-0.91%"
"2019년 01월 11일","6,918.18","6,942.87","7,001.94","6,902.65","701.51M","-0.36%"
"2019년 01월 10일","6,942.87","6,906.63","6,948.18","6,860.82","630.32M","0.52%"
"2019년 01월 09일","6,906.63","6,861.60","6,938.31","6,861.60","887.29M","0.66%"
"2019년 01월 08일","6,861.60","6,810.88","6,901.48","6,804.89","672.10M","0.74%"
"2019년 01월 07일","6,810.88","6,837.42","6,874.11","6,778.01","759.33M","-0.39%"
"2019년 01월 04일","6,837.42","6,692.66","6,850.37","6,692.50","658.88M","2.16%"
"2019년 01월 03일","6,692.66","6,734.23","6,753.14","6,685.09","694.92M","-0.62%"
"2019년 01월 02일","6,734.23","6,728.13","6,753.29","6,599.48","633.24M","0.09%"
"2018년 12월 31일","6,728.13","6,733.97","6,752.54","6,718.32","232.27M","-0.09%"
"2018년 12월 28일","6,733.97","6,584.68","6,742.48","6,584.68","515.16M","2.27%"
"2018년 12월 27일","6,584.68","6,685.99","6,728.49","6,536.53","608.36M","-1.52%"
"2018년 12월 24일","6,685.99","6,721.17","6,721.17","6,661.04","198.77M","-0.52%"
"2018년 12월 21일","6,721.17","6,711.93","6,733.00","6,653.65","1.65B","0.14%"
"2018년 12월 20일","6,711.93","6,765.94","6,765.94","6,646.45","929.57M","-0.80%"
"2018년 12월 19일","6,765.94","6,701.59","6,785.16","6,698.15","777.37M","0.96%"
"2018년 12월 18일","6,701.59","6,773.24","6,773.24","6,701.59","880.78M","-1.06%"
"2018년 12월 17일","6,773.24","6,845.17","6,845.17","6,761.38","734.72M","-1.05%"
"2018년 12월 14일","6,845.17","6,877.50","6,877.50","6,788.65","736.01M","-0.47%"
"2018년 12월 13일","6,877.50","6,880.19","6,908.48","6,848.98","757.82M","-0.04%"
"2018년 12월 12일","6,880.19","6,806.94","6,902.19","6,806.94","1.10B","1.08%"
"2018년 12월 11일","6,806.94","6,721.54","6,857.58","6,721.54","867.26M","1.27%"
"2018년 12월 10일","6,721.54","6,778.11","6,815.84","6,719.17","891.07M","-0.83%"
"2018년 12월 07일","6,778.11","6,704.05","6,868.27","6,704.05","845.32M","1.10%"
"2018년 12월 06일","6,704.05","6,921.84","6,921.84","6,673.57","1.06B","-3.15%"
"2018년 12월 05일","6,921.84","7,022.76","7,028.65","6,921.84","813.44M","-1.44%"
