"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 05월 04일","5.8455","6.0553","6.1531","5.6938","25.16M","-3.47%"
"2019년 05월 03일","6.0554","5.7917","6.1341","5.7762","29.49M","4.55%"
"2019년 05월 02일","5.7916","5.8179","5.8373","5.7578","23.57M","-0.45%"
"2019년 05월 01일","5.8178","5.8742","5.9337","5.7480","25.46M","-0.96%"
"2019년 04월 30일","5.8739","5.5837","5.8884","5.5805","40.44M","5.24%"
"2019년 04월 29일","5.5816","5.6215","5.7381","5.4963","33.42M","-0.71%"
"2019년 04월 28일","5.6215","5.5409","5.6957","5.4844","21.35M","1.46%"
"2019년 04월 27일","5.5407","5.4797","5.6213","5.4625","18.90M","1.12%"
"2019년 04월 26일","5.4795","5.4323","5.5927","5.3103","25.30M","0.88%"
"2019년 04월 25일","5.4318","5.5545","5.6653","5.3094","23.21M","-2.21%"
"2019년 04월 24일","5.5545","5.8811","5.8902","5.2949","28.85M","-5.55%"
"2019년 04월 23일","5.8811","5.8976","6.0608","5.8624","19.61M","-0.27%"
"2019년 04월 22일","5.8972","5.8818","5.9351","5.7777","19.56M","0.26%"
"2019년 04월 21일","5.8819","6.2412","6.2423","5.6787","23.88M","-5.75%"
"2019년 04월 20일","6.2410","6.2584","6.2989","6.1606","15.79M","-0.27%"
"2019년 04월 19일","6.2582","6.3198","6.3352","6.1914","16.44M","-0.97%"
"2019년 04월 18일","6.3196","6.1869","6.3777","6.1711","18.43M","2.15%"
"2019년 04월 17일","6.1869","6.2412","6.2978","6.1085","12.36M","-0.88%"
"2019년 04월 16일","6.2416","6.1668","6.2702","6.0304","13.68M","1.21%"
"2019년 04월 15일","6.1669","6.4150","6.5206","5.9712","16.88M","-3.87%"
"2019년 04월 14일","6.4151","6.2962","6.4161","6.1515","12.17M","1.89%"
"2019년 04월 13일","6.2963","6.3211","6.3981","6.1384","13.72M","-0.42%"
"2019년 04월 12일","6.3226","6.2417","6.4615","5.8983","19.17M","1.30%"
"2019년 04월 11일","6.2418","7.0227","7.0378","5.9589","25.28M","-11.12%"
"2019년 04월 10일","7.0230","6.9363","7.1874","6.9046","19.27M","1.25%"
"2019년 04월 09일","6.9363","7.1344","7.3414","6.6652","22.62M","-2.77%"
"2019년 04월 08일","7.1342","7.7042","7.9418","6.7759","34.95M","-7.40%"
"2019년 04월 07일","7.7045","5.9906","7.9676","5.9894","51.65M","28.59%"
"2019년 04월 06일","5.9917","5.7268","6.0458","5.5138","17.69M","4.64%"
"2019년 04월 05일","5.7261","5.3378","5.8797","5.3378","18.96M","7.28%"
"2019년 04월 04일","5.3378","5.4230","5.5903","5.2259","22.25M","-1.50%"
"2019년 04월 03일","5.4189","5.4301","6.1027","5.1958","34.72M","-0.17%"
"2019년 04월 02일","5.4282","4.8099","5.4383","4.7798","27.15M","12.85%"
"2019년 04월 01일","4.8102","4.8266","4.8485","4.7849","11.33M","-0.34%"
"2019년 03월 31일","4.8267","4.7842","4.8425","4.7445","7.04M","0.89%"
"2019년 03월 30일","4.7842","4.8745","4.9112","4.7301","10.91M","-1.84%"
"2019년 03월 29일","4.8742","4.7064","4.9650","4.7049","14.08M","3.57%"
"2019년 03월 28일","4.7063","4.7806","4.7806","4.7013","11.07M","-1.55%"
"2019년 03월 27일","4.7806","4.6622","4.8067","4.4199","11.61M","2.54%"
"2019년 03월 26일","4.6621","4.6884","4.7061","4.2602","10.83M","-0.56%"
"2019년 03월 25일","4.6884","4.8234","4.8275","4.0733","13.39M","-2.80%"
"2019년 03월 24일","4.8235","4.8688","4.8708","4.7458","12.30M","-0.93%"
"2019년 03월 23일","4.8688","4.8549","4.8960","4.8137","12.07M","0.26%"
"2019년 03월 22일","4.8561","4.7595","4.9716","4.6737","16.96M","2.01%"
"2019년 03월 21일","4.7605","4.6515","4.8828","4.4995","19.87M","2.34%"
"2019년 03월 20일","4.6516","4.6001","4.7028","4.4910","14.60M","1.12%"
"2019년 03월 19일","4.6001","4.3919","4.6496","4.3599","14.96M","4.74%"
"2019년 03월 18일","4.3918","4.4155","4.4862","4.3248","18.96M","-0.54%"
"2019년 03월 17일","4.4155","4.4759","4.4807","4.3210","12.67M","-1.33%"
"2019년 03월 16일","4.4751","4.4003","4.5806","4.3971","13.19M","1.70%"
"2019년 03월 15일","4.4004","4.2950","4.4693","4.2950","11.52M","2.45%"
