"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 05월 31일","696.47","688.70","699.40","687.71","642.15M","1.04%"
"2019년 05월 30일","689.33","692.60","696.45","685.31","669.46M","-0.31%"
"2019년 05월 29일","691.47","699.12","699.53","689.90","849.78M","-1.61%"
"2019년 05월 28일","702.76","691.55","702.76","690.78","723.96M","1.90%"
"2019년 05월 27일","689.67","692.06","696.30","684.07","782.62M","-0.05%"
"2019년 05월 24일","690.03","694.02","696.75","686.72","862.12M","-0.98%"
"2019년 05월 23일","696.89","707.74","707.95","696.88","902.83M","-1.42%"
"2019년 05월 22일","706.93","709.38","710.46","702.25","723.70M","0.42%"
"2019년 05월 21일","703.98","701.83","708.16","700.00","792.04M","0.27%"
"2019년 05월 20일","702.08","717.12","719.57","701.76","733.17M","-1.69%"
"2019년 05월 17일","714.13","723.94","727.56","713.94","783.63M","-0.48%"
"2019년 05월 16일","717.59","731.09","731.78","716.68","911.75M","-1.65%"
"2019년 05월 15일","729.60","714.94","729.63","713.49","859.43M","2.74%"
"2019년 05월 14일","710.16","698.86","714.80","698.30","1.07B","0.19%"
"2019년 05월 13일","708.80","722.19","724.78","708.77","916.43M","-1.91%"
"2019년 05월 10일","722.62","726.06","729.84","712.15","916.49M","-0.22%"
"2019년 05월 09일","724.22","746.96","747.96","722.60","992.09M","-2.84%"
"2019년 05월 08일","745.37","745.86","751.55","745.36","922.68M","-1.07%"
"2019년 05월 07일","753.45","751.26","757.97","749.27","728.05M","-1.10%"
"2019년 05월 03일","761.82","761.13","762.72","758.42","701.32M","0.19%"
"2019년 05월 02일","760.38","753.51","760.94","753.43","779.40M","0.75%"
"2019년 04월 30일","754.74","751.40","755.11","746.42","671.04M","0.55%"
"2019년 04월 29일","750.60","744.01","750.60","742.43","754.66M","1.30%"
"2019년 04월 26일","741.00","748.30","750.23","739.84","865.15M","-1.26%"
"2019년 04월 25일","750.43","757.64","757.64","750.43","946.89M","-0.98%"
"2019년 04월 24일","757.82","765.00","765.02","755.93","886.60M","-0.47%"
"2019년 04월 23일","761.42","763.58","764.48","756.77","895.10M","-0.08%"
"2019년 04월 22일","762.01","764.37","767.02","760.02","691.82M","-0.07%"
"2019년 04월 19일","762.57","757.42","762.95","757.35","773.55M","1.20%"
"2019년 04월 18일","753.52","767.74","767.85","751.59","904.45M","-1.74%"
"2019년 04월 17일","766.89","766.70","768.43","765.36","1.06B","0.24%"
"2019년 04월 16일","765.02","767.59","767.73","758.69","979.26M","-0.23%"
"2019년 04월 15일","766.75","770.63","770.66","765.62","951.96M","-0.14%"
"2019년 04월 12일","767.85","765.60","769.09","762.99","926.53M","0.18%"
"2019년 04월 11일","766.49","762.15","766.56","762.13","760.87M","0.83%"
"2019년 04월 10일","760.15","755.73","760.15","754.05","744.53M","0.44%"
"2019년 04월 09일","756.81","753.72","756.92","749.87","836.57M","0.65%"
"2019년 04월 08일","751.92","755.32","756.16","750.02","762.37M","0.03%"
"2019년 04월 05일","751.71","752.28","753.97","748.79","788.49M","0.02%"
"2019년 04월 04일","751.58","750.90","753.39","746.29","879.69M","0.30%"
"2019년 04월 03일","749.30","741.76","749.30","740.73","807.52M","1.32%"
"2019년 04월 02일","739.57","740.94","740.94","737.18","955.94M","0.37%"
"2019년 04월 01일","736.81","731.50","737.69","729.74","704.76M","1.03%"
"2019년 03월 29일","729.31","723.64","729.31","714.53","779.26M","1.33%"
"2019년 03월 28일","719.72","727.70","728.56","719.72","695.54M","-1.20%"
"2019년 03월 27일","728.45","739.22","739.22","728.43","748.82M","-1.13%"
"2019년 03월 26일","736.81","732.76","737.50","729.22","656.38M","1.32%"
"2019년 03월 25일","727.21","733.51","737.22","726.93","696.28M","-2.25%"
"2019년 03월 22일","743.97","747.87","748.05","741.03","752.36M","0.06%"
"2019년 03월 21일","743.52","750.79","753.98","742.03","795.56M","-0.83%"
"2019년 03월 20일","749.76","750.50","750.50","741.25","880.13M","0.11%"
"2019년 03월 19일","748.91","757.07","757.88","748.76","984.69M","-0.56%"
"2019년 03월 18일","753.13","752.15","755.89","748.70","705.22M","0.64%"
"2019년 03월 15일","748.36","756.82","757.29","743.34","881.37M","-0.93%"
"2019년 03월 14일","755.42","758.53","762.41","755.42","643.98M","0.07%"
"2019년 03월 13일","754.89","755.30","758.90","750.49","797.15M","0.02%"
"2019년 03월 12일","754.76","745.76","754.76","745.76","792.77M","2.12%"
"2019년 03월 11일","739.09","737.27","739.10","726.11","686.95M","0.42%"
"2019년 03월 08일","735.97","733.38","739.59","730.42","871.23M","-0.12%"
"2019년 03월 07일","736.83","746.21","750.13","733.49","897.29M","-1.32%"
"2019년 03월 06일","746.70","750.13","750.81","741.68","846.99M","-0.17%"
"2019년 03월 05일","747.95","746.90","751.45","743.80","753.41M","-0.02%"
"2019년 03월 04일","748.07","739.19","748.87","739.19","707.58M","2.30%"
"2019년 02월 28일","731.25","753.29","755.92","731.25","1.02B","-2.78%"
"2019년 02월 27일","752.16","748.11","752.16","747.16","921.72M","0.68%"
"2019년 02월 26일","747.09","752.25","753.66","746.12","956.64M","-0.44%"
"2019년 02월 25일","750.40","746.79","750.93","746.30","735.84M","0.94%"
"2019년 02월 22일","743.38","747.25","748.11","740.94","965.51M","-0.53%"
"2019년 02월 21일","747.33","752.30","752.75","744.87","956.55M","-0.45%"
"2019년 02월 20일","750.69","749.52","751.66","747.56","885.29M","0.35%"
"2019년 02월 19일","748.05","746.50","748.69","741.20","793.92M","0.36%"
"2019년 02월 18일","745.33","743.53","746.81","742.50","734.38M","0.90%"
"2019년 02월 15일","738.66","741.53","743.20","734.37","738.00M","-0.49%"
"2019년 02월 14일","742.27","740.69","742.46","737.07","738.31M","0.32%"
"2019년 02월 13일","739.91","734.56","740.44","733.37","798.62M","1.28%"
"2019년 02월 12일","730.58","734.87","735.14","729.52","692.22M","-0.39%"
"2019년 02월 11일","733.47","731.82","733.94","730.32","704.62M","0.65%"
"2019년 02월 08일","728.74","726.40","729.74","724.99","736.60M","-0.01%"
"2019년 02월 07일","728.79","719.86","728.89","717.53","713.06M","1.66%"
"2019년 02월 01일","716.92","719.08","719.74","714.66","643.32M","0.01%"
"2019년 01월 31일","716.86","719.93","721.58","714.31","684.51M","0.22%"
"2019년 01월 30일","715.30","712.87","716.77","711.71","719.24M","0.61%"
"2019년 01월 29일","710.99","712.65","713.65","705.89","703.39M","-0.46%"
"2019년 01월 28일","714.26","713.41","717.31","711.96","664.27M","0.40%"
"2019년 01월 25일","711.38","705.66","712.67","704.67","631.59M","0.99%"
"2019년 01월 24일","704.41","696.97","704.78","696.80","605.76M","1.26%"
"2019년 01월 23일","695.63","691.50","697.06","690.91","683.16M","0.16%"
"2019년 01월 22일","694.55","698.00","698.30","692.45","794.37M","-0.15%"
"2019년 01월 21일","695.62","698.74","698.74","692.95","794.34M","-0.10%"
"2019년 01월 18일","696.34","690.83","696.34","689.80","819.96M","1.46%"
"2019년 01월 17일","686.35","694.94","696.21","686.27","862.71M","-1.01%"
"2019년 01월 16일","693.38","692.72","693.50","687.43","788.31M","0.43%"
"2019년 01월 15일","690.39","684.97","691.56","684.32","639.02M","1.07%"
"2019년 01월 14일","683.09","687.42","687.42","682.54","613.34M","-0.47%"
"2019년 01월 11일","686.33","686.09","688.01","683.59","701.51M","0.44%"
"2019년 01월 10일","683.34","680.61","685.65","678.23","735.09M","0.53%"
"2019년 01월 09일","679.74","672.38","681.12","671.95","622.02M","1.68%"
"2019년 01월 08일","668.49","674.53","675.05","667.01","623.52M","-0.65%"
"2019년 01월 07일","672.84","672.76","675.31","669.07","584.29M","1.26%"
"2019년 01월 04일","664.49","655.62","664.49","648.95","554.45M","1.14%"
"2019년 01월 03일","657.02","671.98","673.61","656.85","656.33M","-1.85%"
"2019년 01월 02일","669.37","682.16","683.09","667.71","539.45M","-0.93%"
"2018년 12월 28일","675.65","670.83","675.89","669.71","598.21M","1.16%"
"2018년 12월 27일","667.88","678.86","678.86","667.13","575.97M","0.32%"
"2018년 12월 26일","665.74","658.70","666.69","655.80","696.04M","-0.60%"
"2018년 12월 24일","669.79","671.78","673.48","668.46","690.90M","-0.57%"
"2018년 12월 21일","673.64","667.22","675.23","667.21","629.58M","0.82%"
"2018년 12월 20일","668.13","667.74","677.79","664.34","597.24M","-0.59%"
"2018년 12월 19일","672.08","663.73","673.59","661.20","777.03M","1.88%"
