"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 11월 18일","43,800","44,000","44,000","43,800","-","-0.45%"
"2018년 11월 16일","44,000","44,600","44,750","43,700","7.75M","-0.56%"
"2018년 11월 15일","44,250","44,050","44,350","43,500","5.85M","0.34%"
"2018년 11월 14일","44,100","44,500","44,500","43,800","6.56M","-0.90%"
"2018년 11월 13일","44,500","43,900","44,500","43,400","9.02M","-1.55%"
"2018년 11월 12일","45,200","43,850","45,250","43,700","8.49M","3.20%"
"2018년 11월 11일","43,800","43,900","43,900","43,800","-","-1.13%"
"2018년 11월 09일","44,300","44,450","44,850","43,900","7.19M","0.57%"
"2018년 11월 08일","44,050","44,900","45,050","44,050","12.32M","0.11%"
"2018년 11월 07일","44,000","43,600","44,500","43,400","11.54M","0.57%"
"2018년 11월 06일","43,750","43,750","43,800","42,950","7.36M","-0.11%"
"2018년 11월 05일","43,800","43,750","43,800","42,900","9.18M","0.23%"
"2018년 11월 04일","43,700","43,800","43,800","43,700","-","-1.02%"
"2018년 11월 02일","44,150","43,050","44,250","42,800","16.50M","4.74%"
"2018년 11월 01일","42,150","42,450","42,950","42,150","12.92M","-0.59%"
"2018년 10월 31일","42,400","42,900","43,350","41,700","16.99M","0.12%"
"2018년 10월 30일","42,350","41,400","43,000","41,000","14.19M","2.29%"
"2018년 10월 29일","41,400","40,850","41,950","40,550","13.03M","0.98%"
"2018년 10월 26일","41,000","41,100","41,300","40,400","14.00M","0.00%"
"2018년 10월 25일","41,000","40,600","41,550","40,550","18.58M","-3.64%"
"2018년 10월 24일","42,550","43,050","43,100","42,250","13.49M","-1.16%"
"2018년 10월 23일","43,050","43,300","43,450","42,550","9.44M","-1.15%"
"2018년 10월 22일","43,550","43,450","43,950","43,200","7.79M","0.23%"
"2018년 10월 21일","43,450","43,400","43,450","43,400","-","-1.03%"
"2018년 10월 19일","43,900","43,900","44,150","43,450","7.78M","-0.34%"
"2018년 10월 18일","44,050","43,950","44,450","43,700","8.09M","-0.23%"
"2018년 10월 17일","44,150","44,150","44,500","44,000","8.30M","1.26%"
"2018년 10월 16일","43,600","43,700","44,150","43,350","6.80M","-0.46%"
"2018년 10월 15일","43,800","44,050","44,050","43,350","7.19M","-0.45%"
"2018년 10월 14일","44,000","44,000","44,000","44,000","-","0.00%"
"2018년 10월 12일","44,000","43,200","44,650","43,200","12.37M","2.09%"
"2018년 10월 11일","43,100","44,000","44,650","43,100","18.87M","-4.86%"
"2018년 10월 10일","45,300","45,250","45,500","44,500","9.75M","0.78%"
"2018년 10월 09일","44,950","44,950","44,950","44,950","-","0.00%"
"2018년 10월 08일","44,950","44,200","45,200","44,200","6.57M","0.56%"
"2018년 10월 07일","44,700","44,700","44,700","44,700","-","0.00%"
"2018년 10월 05일","44,700","44,800","45,500","44,550","10.51M","0.00%"
"2018년 10월 04일","44,700","45,150","45,600","44,700","11.34M","-2.19%"
"2018년 10월 03일","45,700","45,700","45,700","45,700","-","0.00%"
"2018년 10월 02일","45,700","46,450","46,700","45,700","6.34M","-1.40%"
"2018년 10월 01일","46,350","46,450","46,800","45,800","6.31M","-0.22%"
"2018년 09월 30일","46,450","46,450","46,450","46,450","-","0.00%"
"2018년 09월 28일","46,450","47,250","47,250","46,300","10.81M","-2.21%"
"2018년 09월 27일","47,500","46,950","47,500","46,450","15.26M","0.21%"
"2018년 09월 26일","47,400","47,400","47,400","47,400","-","0.00%"
"2018년 09월 21일","47,400","46,550","47,550","46,550","14.39M","0.32%"
"2018년 09월 20일","47,250","46,850","47,600","46,400","13.40M","2.38%"
"2018년 09월 19일","46,150","46,000","46,200","45,700","9.26M","1.43%"
"2018년 09월 18일","45,500","44,950","45,900","44,700","8.97M","0.78%"
"2018년 09월 17일","45,150","45,550","45,800","44,900","8.10M","-1.53%"
"2018년 09월 16일","45,850","45,850","45,850","45,850","-","0.00%"
"2018년 09월 14일","45,850","45,000","45,850","44,900","12.03M","4.09%"
"2018년 09월 13일","44,050","44,550","44,750","44,000","17.93M","-1.12%"
"2018년 09월 12일","44,550","44,900","45,100","44,500","11.17M","-1.11%"
"2018년 09월 11일","45,050","45,550","45,900","45,050","7.81M","-0.99%"
"2018년 09월 10일","45,500","45,450","45,550","45,000","7.87M","1.34%"
"2018년 09월 09일","44,900","44,900","44,900","44,900","-","0.00%"
"2018년 09월 07일","44,900","44,500","45,200","44,400","17.73M","-2.60%"
"2018년 09월 06일","46,100","46,200","46,400","45,800","8.57M","-1.07%"
"2018년 09월 05일","46,600","47,300","47,450","46,400","9.10M","-2.20%"
"2018년 09월 04일","47,650","47,550","47,800","47,200","6.61M","0.42%"
"2018년 09월 03일","47,450","48,200","48,300","47,300","7.91M","-2.06%"
"2018년 09월 02일","48,450","48,450","48,450","48,450","-","0.00%"
"2018년 08월 31일","48,450","47,100","48,450","47,000","13.51M","1.68%"
"2018년 08월 30일","47,650","46,950","47,950","46,700","12.16M","1.82%"
"2018년 08월 29일","46,800","46,750","46,800","46,400","5.50M","0.54%"
"2018년 08월 28일","46,550","46,800","46,950","46,300","7.23M","0.54%"
"2018년 08월 27일","46,300","46,100","46,550","46,000","5.11M","0.33%"
"2018년 08월 26일","46,150","46,150","46,150","46,150","-","0.00%"
"2018년 08월 24일","46,150","45,900","46,400","45,550","6.44M","-0.11%"
"2018년 08월 23일","46,200","46,150","46,200","45,700","6.60M","0.22%"
"2018년 08월 22일","46,100","45,150","46,200","44,900","11.63M","2.90%"
"2018년 08월 21일","44,800","43,700","44,900","43,700","9.47M","2.17%"
"2018년 08월 20일","43,850","43,500","44,200","43,500","7.20M","-0.57%"
"2018년 08월 19일","44,100","44,100","44,100","44,100","-","0.00%"
"2018년 08월 17일","44,100","44,050","44,400","44,050","6.54M","-0.34%"
"2018년 08월 16일","44,250","43,800","44,650","43,700","10.07M","-1.99%"
"2018년 08월 15일","45,150","45,150","45,150","45,150","-","0.00%"
"2018년 08월 14일","45,150","44,850","45,400","44,850","6.37M","0.22%"
"2018년 08월 13일","45,050","44,950","45,100","44,650","9.78M","-0.77%"
"2018년 08월 12일","45,400","45,400","45,400","45,400","-","0.00%"
"2018년 08월 10일","45,400","46,150","46,400","44,850","16.53M","-3.20%"
"2018년 08월 09일","46,900","47,000","47,050","46,450","11.40M","0.21%"
"2018년 08월 08일","46,800","47,000","47,000","46,550","6.37M","0.21%"
"2018년 08월 07일","46,700","46,300","46,750","45,900","9.02M","1.97%"
"2018년 08월 06일","45,800","46,150","46,150","45,750","6.70M","0.11%"
"2018년 08월 05일","45,750","45,750","45,750","45,750","-","0.00%"
"2018년 08월 03일","45,750","45,850","45,900","45,450","7.44M","0.44%"
"2018년 08월 02일","45,550","46,550","46,800","45,500","7.93M","-2.15%"
"2018년 08월 01일","46,550","46,050","46,850","46,050","7.09M","0.65%"
"2018년 07월 31일","46,250","46,200","46,450","46,000","7.59M","-0.54%"
"2018년 07월 30일","46,500","46,550","46,800","46,350","5.52M","-0.85%"
"2018년 07월 29일","46,900","46,900","46,900","46,900","-","0.00%"
"2018년 07월 27일","46,900","46,450","47,000","46,450","4.75M","0.00%"
"2018년 07월 26일","46,900","46,100","47,000","46,000","7.34M","1.63%"
"2018년 07월 25일","46,150","46,250","46,550","45,900","7.21M","0.00%"
"2018년 07월 24일","46,150","46,350","46,600","45,950","7.92M","-0.75%"
"2018년 07월 23일","46,500","47,100","47,200","46,150","10.81M","-2.00%"
"2018년 07월 22일","47,450","47,450","47,450","47,450","-","0.00%"
"2018년 07월 20일","47,450","47,000","47,600","46,700","10.23M","1.17%"
"2018년 07월 19일","46,900","47,050","47,200","46,600","9.70M","0.75%"
"2018년 07월 18일","46,550","46,700","47,200","46,450","10.88M","1.53%"
"2018년 07월 17일","45,850","46,150","46,200","45,600","8.76M","-0.43%"
"2018년 07월 16일","46,050","46,800","46,800","46,000","7.54M","-0.97%"
"2018년 07월 15일","46,500","46,500","46,500","46,500","-","0.00%"
"2018년 07월 13일","46,500","45,800","46,500","45,750","10.96M","2.20%"
"2018년 07월 12일","45,500","45,900","46,250","45,450","11.78M","-1.09%"
"2018년 07월 11일","46,000","46,400","46,450","45,400","10.82M","-0.65%"
"2018년 07월 10일","46,300","46,200","46,550","46,100","9.27M","1.54%"
"2018년 07월 09일","45,600","45,500","46,100","45,200","11.59M","1.56%"
"2018년 07월 08일","44,900","44,900","44,900","44,900","-","0.00%"
"2018년 07월 06일","44,900","45,500","45,850","44,650","17.78M","-2.29%"
"2018년 07월 05일","45,950","46,100","46,550","45,600","6.91M","-0.65%"
"2018년 07월 04일","46,250","46,700","47,050","46,050","8.13M","0.22%"
"2018년 07월 03일","46,150","45,750","46,450","45,750","10.43M","1.32%"
"2018년 07월 02일","45,550","46,500","47,150","45,500","12.75M","-2.36%"
"2018년 06월 29일","46,650","46,250","47,150","46,200","13.69M","-0.32%"
"2018년 06월 28일","46,800","46,850","47,150","46,600","12.08M","-2.40%"
"2018년 06월 27일","47,950","47,450","48,500","47,000","15.09M","2.02%"
"2018년 06월 26일","47,000","45,900","47,300","45,900","11.14M","0.75%"
"2018년 06월 25일","46,650","47,050","47,050","46,150","9.52M","-1.27%"
"2018년 06월 24일","47,250","47,250","47,250","47,250","-","0.00%"
"2018년 06월 22일","47,250","47,000","47,250","46,200","10.25M","0.43%"
"2018년 06월 21일","47,050","47,900","47,900","47,050","9.98M","0.11%"
"2018년 06월 20일","47,000","47,450","47,600","46,850","11.31M","0.00%"
"2018년 06월 19일","47,000","47,200","47,350","46,500","15.17M","0.86%"
"2018년 06월 18일","46,600","47,600","47,650","46,200","16.62M","-2.20%"
"2018년 06월 17일","47,650","47,650","47,650","47,650","-","0.00%"
"2018년 06월 15일","47,650","48,500","48,700","47,650","16.84M","-1.14%"
"2018년 06월 14일","48,200","49,000","49,000","48,200","19.00M","-2.43%"
"2018년 06월 13일","49,400","49,400","49,400","49,400","-","0.00%"
"2018년 06월 12일","49,400","49,700","49,800","49,250","11.43M","-1.00%"
"2018년 06월 11일","49,900","49,750","50,300","49,350","10.50M","0.50%"
"2018년 06월 10일","49,650","49,650","49,650","49,650","-","0.00%"
"2018년 06월 08일","49,650","50,200","50,400","49,600","16.58M","-1.88%"
"2018년 06월 07일","50,600","51,800","51,800","50,500","13.17M","-1.36%"
"2018년 06월 06일","51,300","51,300","51,300","51,300","-","0.00%"
"2018년 06월 05일","51,300","51,100","51,400","50,400","8.86M","0.39%"
"2018년 06월 04일","51,100","50,800","51,200","50,700","9.29M","-0.39%"
"2018년 06월 03일","51,300","51,300","51,300","51,300","-","0.00%"
"2018년 06월 01일","51,300","50,500","51,700","49,950","12.44M","1.18%"
"2018년 05월 31일","50,700","50,400","50,800","49,850","35.94M","2.42%"
"2018년 05월 30일","49,500","51,300","51,500","49,100","20.20M","-3.51%"
"2018년 05월 29일","51,300","52,200","52,500","51,300","8.43M","-1.91%"
"2018년 05월 28일","52,300","52,500","53,000","52,000","9.75M","-0.76%"
"2018년 05월 27일","52,700","52,700","52,700","52,700","-","0.00%"
"2018년 05월 25일","52,700","51,000","52,800","50,800","15.17M","2.53%"
"2018년 05월 24일","51,400","52,000","52,000","51,100","8.18M","-0.77%"
"2018년 05월 23일","51,800","50,600","52,000","50,400","17.00M","3.60%"
"2018년 05월 22일","50,000","50,000","50,000","50,000","-","0.00%"
"2018년 05월 21일","50,000","49,650","50,200","49,100","8.62M","1.01%"
"2018년 05월 18일","49,500","49,900","49,900","49,350","6.64M","0.20%"
"2018년 05월 17일","49,400","50,300","50,500","49,400","10.30M","-0.90%"
"2018년 05월 16일","49,850","49,200","50,200","49,150","15.24M","1.32%"
"2018년 05월 15일","49,200","50,200","50,400","49,100","17.01M","-1.80%"
"2018년 05월 14일","50,100","51,000","51,100","49,900","14.84M","-2.34%"
"2018년 05월 11일","51,300","52,000","52,200","51,200","10.14M","-0.58%"
"2018년 05월 10일","51,600","51,700","51,700","50,600","13.76M","1.38%"
"2018년 05월 09일","50,900","52,600","52,800","50,900","15.96M","-3.23%"
"2018년 05월 08일","52,600","52,600","53,200","51,900","22.96M","1.35%"
"2018년 05월 07일","51,900","51,900","51,900","51,900","-","0.00%"
"2018년 05월 04일","51,900","53,000","53,900","51,800","39.42M","-2.08%"
"2018년 04월 27일","53,000","53,380","53,640","52,440","28.28M","1.65%"
"2018년 04월 26일","52,140","50,420","52,160","50,400","17.92M","3.45%"
"2018년 04월 25일","50,400","49,220","50,500","49,220","16.55M","-0.12%"
"2018년 04월 24일","50,460","51,840","51,860","50,080","15.70M","-2.77%"
"2018년 04월 23일","51,900","51,000","52,080","51,000","8.85M","0.54%"
