"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 12월 30일","87.21","86.69","88.43","85.61","174.45K","0.61%"
"2018년 12월 29일","86.69","91.73","92.31","86.35","266.27K","-5.50%"
"2018년 12월 28일","91.73","83.64","92.79","81.02","395.96K","9.95%"
"2018년 12월 27일","83.43","93.17","96.58","82.44","314.21K","-10.46%"
"2018년 12월 26일","93.18","92.15","97.72","89.57","386.76K","1.05%"
"2018년 12월 25일","92.20","101.49","101.49","88.16","501.87K","-9.13%"
"2018년 12월 24일","101.47","105.84","110.84","100.07","529.39K","-4.12%"
"2018년 12월 23일","105.83","107.82","112.74","103.14","480.94K","-1.84%"
"2018년 12월 22일","107.82","107.18","113.10","101.09","583.80K","0.58%"
"2018년 12월 21일","107.20","110.09","129.11","101.50","1.34M","-2.61%"
"2018년 12월 20일","110.07","84.92","123.05","83.57","1.36M","29.61%"
"2018년 12월 19일","84.93","83.63","96.34","81.65","725.47K","1.55%"
"2018년 12월 18일","83.63","81.35","84.84","76.71","440.55K","2.80%"
"2018년 12월 17일","81.35","77.27","81.81","74.70","445.05K","5.28%"
"2018년 12월 16일","77.27","67.82","79.86","67.37","449.11K","13.94%"
"2018년 12월 15일","67.82","70.12","73.76","64.15","301.75K","-3.27%"
"2018년 12월 14일","70.12","78.24","81.62","69.17","312.03K","-10.41%"
"2018년 12월 13일","78.26","88.13","88.38","76.92","236.58K","-11.25%"
"2018년 12월 12일","88.19","89.07","95.78","87.32","167.78K","-2.39%"
"2018년 12월 11일","90.35","94.14","94.29","86.37","212.25K","-4.02%"
"2018년 12월 10일","94.13","96.10","100.73","93.72","203.49K","-2.06%"
"2018년 12월 09일","96.11","97.18","99.28","91.46","268.40K","-1.36%"
"2018년 12월 08일","97.43","103.39","103.92","96.49","259.80K","-5.73%"
"2018년 12월 07일","103.35","103.45","115.46","94.10","704.15K","-0.11%"
"2018년 12월 06일","103.47","86.64","110.19","86.58","655.77K","19.43%"
"2018년 12월 05일","86.64","90.17","93.80","84.97","292.89K","-3.92%"
"2018년 12월 04일","90.17","94.80","95.19","89.67","240.81K","-5.00%"
"2018년 12월 03일","94.92","100.36","100.84","91.53","404.85K","-5.42%"
"2018년 12월 02일","100.36","93.79","104.04","92.34","516.55K","7.27%"
"2018년 12월 01일","93.56","95.52","96.97","88.12","348.68K","-2.05%"
"2018년 11월 30일","95.52","98.94","107.00","92.97","520.84K","-3.45%"
"2018년 11월 29일","98.93","100.28","102.47","91.63","469.39K","-1.34%"
"2018년 11월 28일","100.27","98.75","111.34","83.74","958.06K","1.54%"
"2018년 11월 27일","98.75","119.52","129.01","86.83","899.21K","-17.38%"
"2018년 11월 26일","119.52","92.59","135.30","89.79","1.62M","29.08%"
"2018년 11월 25일","92.59","59.78","99.91","56.68","1.24M","54.90%"
"2018년 11월 24일","59.78","55.40","71.82","52.64","757.29K","5.11%"
"2018년 11월 23일","56.87","43.38","63.58","37.59","672.78K","32.19%"
"2018년 11월 22일","43.02","54.40","55.49","42.67","230.57K","-20.92%"
"2018년 11월 21일","54.40","55.92","59.62","51.87","263.68K","-2.72%"
"2018년 11월 20일","55.92","71.97","74.13","51.17","552.35K","-22.30%"
"2018년 11월 19일","71.97","107.67","110.42","70.41","413.76K","-33.16%"
